date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2009-01-01 | 1
2009-01-02 | 1
2022-03-25 | 1
2022-03-26 | 1
2022-03-28 | 1
2022-03-29 | 1
2022-03-30 | 1
2100-06-30 | 1

invalid-format
2012-01-11 | 1000
2012-01-11 | 1000
2012-01-11 | 1001
2012-01-31 | 1000invalid
2012-01-31 | invalid
-2012-01-2 | 1
2012-1-2 | 1
2012-01--2 | 1
2007-01-01 | 1
2009-02-28 | 1
2009-02-29 | 1
2012-02-29 | 1
2012-02-30 | 1
